antecedent,consequent,confidence,lift,support
"['ETH_Livepeer Token (LPT)_0x58b6a8a3302369daec383334672404ee733ab239', 'ETH_Streamr (old) (XDATA)_0x0cf0ee63788a0849fe5297f3407f701e122cc023']",['ETH_HEX (HEX)_0x2b591e99afe9f32eaa6214f7b7629768c40eeb39'],0.877757901013715,2.2731489365763773,0.23942745608327912
"['ETH_OMG Network (OMG)_0xd26114cd6ee289accf82350c8d8487fedb8a0c07', 'ETH_Streamr (old) (XDATA)_0x0cf0ee63788a0849fe5297f3407f701e122cc023']","['ETH_HEX (HEX)_0x2b591e99afe9f32eaa6214f7b7629768c40eeb39', 'ETH_Livepeer Token (LPT)_0x58b6a8a3302369daec383334672404ee733ab239']",0.8761061946902655,2.8819159363059135,0.19323357189329862
"['ETH_Livepeer Token (LPT)_0x58b6a8a3302369daec383334672404ee733ab239', 'ETH_OMG Network (OMG)_0xd26114cd6ee289accf82350c8d8487fedb8a0c07']",['ETH_HEX (HEX)_0x2b591e99afe9f32eaa6214f7b7629768c40eeb39'],0.8749101365923796,2.2657740184372157,0.1979505530253741
"['ETH_OMG Network (OMG)_0xd26114cd6ee289accf82350c8d8487fedb8a0c07', 'POL_iNFTspaceToken (INS)_0xb988bd378a0754957d5d9471c96e0f8051645a26']","['ETH_HEX (HEX)_0x2b591e99afe9f32eaa6214f7b7629768c40eeb39', 'ETH_Streamr (old) (XDATA)_0x0cf0ee63788a0849fe5297f3407f701e122cc023']",0.8746113989637305,3.53524712743525,0.1372804163955758
['ETH_Streamr (old) (XDATA)_0x0cf0ee63788a0849fe5297f3407f701e122cc023'],['ETH_HEX (HEX)_0x2b591e99afe9f32eaa6214f7b7629768c40eeb39'],0.8711340206185567,2.2559949278697924,0.2473975276512687
"['ETH_OMG Network (OMG)_0xd26114cd6ee289accf82350c8d8487fedb8a0c07', 'POL_iNFTspaceToken (INS)_0xb988bd378a0754957d5d9471c96e0f8051645a26']","['ETH_HEX (HEX)_0x2b591e99afe9f32eaa6214f7b7629768c40eeb39', 'ETH_Livepeer Token (LPT)_0x58b6a8a3302369daec383334672404ee733ab239', 'ETH_Streamr (old) (XDATA)_0x0cf0ee63788a0849fe5297f3407f701e122cc023']",0.8694300518134715,3.631288015318766,0.13646714378659727
"['ETH_Livepeer Token (LPT)_0x58b6a8a3302369daec383334672404ee733ab239', 'ETH_OMG Network (OMG)_0xd26114cd6ee289accf82350c8d8487fedb8a0c07']","['ETH_HEX (HEX)_0x2b591e99afe9f32eaa6214f7b7629768c40eeb39', 'ETH_Streamr (old) (XDATA)_0x0cf0ee63788a0849fe5297f3407f701e122cc023']",0.8540618260244428,3.4521841593677016,0.19323357189329862
['ETH_Streamr (old) (XDATA)_0x0cf0ee63788a0849fe5297f3407f701e122cc023'],"['ETH_HEX (HEX)_0x2b591e99afe9f32eaa6214f7b7629768c40eeb39', 'ETH_Livepeer Token (LPT)_0x58b6a8a3302369daec383334672404ee733ab239']",0.843069873997709,2.7732442939207678,0.23942745608327912
['ETH_OMG Network (OMG)_0xd26114cd6ee289accf82350c8d8487fedb8a0c07'],['ETH_HEX (HEX)_0x2b591e99afe9f32eaa6214f7b7629768c40eeb39'],0.836241610738255,2.165633286781294,0.20266753415744956
['ETH_OMG Network (OMG)_0xd26114cd6ee289accf82350c8d8487fedb8a0c07'],"['ETH_HEX (HEX)_0x2b591e99afe9f32eaa6214f7b7629768c40eeb39', 'ETH_Livepeer Token (LPT)_0x58b6a8a3302369daec383334672404ee733ab239']",0.8167785234899329,2.686759958489089,0.1979505530253741
"['ETH_HEX (HEX)_0x2b591e99afe9f32eaa6214f7b7629768c40eeb39', 'POL_iNFTspaceToken (INS)_0xb988bd378a0754957d5d9471c96e0f8051645a26']",['ETH_Livepeer Token (LPT)_0x58b6a8a3302369daec383334672404ee733ab239'],0.810841332580463,2.1543009994402276,0.2335718932986337
['ETH_OMG Network (OMG)_0xd26114cd6ee289accf82350c8d8487fedb8a0c07'],"['ETH_HEX (HEX)_0x2b591e99afe9f32eaa6214f7b7629768c40eeb39', 'ETH_Streamr (old) (XDATA)_0x0cf0ee63788a0849fe5297f3407f701e122cc023']",0.810738255033557,3.2770669243565473,0.19648666232921275
['ETH_Livepeer Token (LPT)_0x58b6a8a3302369daec383334672404ee733ab239'],['ETH_HEX (HEX)_0x2b591e99afe9f32eaa6214f7b7629768c40eeb39'],0.8076923076923077,2.0916985289352605,0.30400130123617436
"['ETH_HEX (HEX)_0x2b591e99afe9f32eaa6214f7b7629768c40eeb39', 'ETH_Livepeer Token (LPT)_0x58b6a8a3302369daec383334672404ee733ab239', 'ETH_Streamr (old) (XDATA)_0x0cf0ee63788a0849fe5297f3407f701e122cc023']",['ETH_OMG Network (OMG)_0xd26114cd6ee289accf82350c8d8487fedb8a0c07'],0.8070652173913043,3.330091917128684,0.19323357189329862
